Time (HH:MM:SS),Ch4
15:43:33,100.59
15:43:34,100.58
15:43:35,100.57
15:43:36,100.53
15:43:37,100.53
15:43:38,100.50
15:43:39,100.49
15:43:40,100.44
15:43:41,100.44
15:43:42,100.40
15:43:43,100.39
15:43:44,100.38
15:43:45,100.39
15:43:46,100.38
15:43:47,100.37
15:43:48,100.37
15:43:49,100.35
15:43:50,100.32
15:43:51,100.28
15:43:52,100.27
15:43:53,100.27
15:43:54,100.27
15:43:55,100.26
15:43:56,100.25
15:43:57,100.24
15:43:58,100.24
15:43:59,100.20
15:44:00,100.17
15:44:01,100.17
15:44:02,100.18
15:44:03,100.18
15:44:04,100.15
15:44:05,100.14
15:44:06,100.16
15:44:07,100.13
15:44:08,100.13
15:44:09,100.08
15:44:10,100.08
15:44:11,100.05
15:44:12,100.03
15:44:13,100.01
15:44:14,99.998
15:44:15,99.998
15:44:16,100.00
15:44:17,100.01
15:44:18,99.980
15:44:19,99.974
15:44:20,99.961
15:44:21,99.983
15:44:22,99.968
15:44:23,99.962
15:44:24,99.946
15:44:25,99.910
15:44:26,99.888
15:44:27,99.858
15:44:28,99.883
15:44:29,99.861
15:44:30,99.849
15:44:31,99.828
15:44:32,99.812
15:44:33,99.816
15:44:34,99.797
15:44:35,99.813
15:44:36,99.807
15:44:37,99.807
15:44:38,99.771
15:44:39,99.743
15:44:40,99.703
15:44:41,99.703
15:44:42,99.691
15:44:43,99.694
15:44:44,99.682
15:44:45,99.667
15:44:46,99.646
15:44:47,99.633
15:44:48,99.643
15:44:49,99.646
15:44:50,99.634
15:44:51,99.619
15:44:52,99.619
15:44:53,99.622
15:44:54,99.613
15:44:55,99.592
15:44:56,99.558
15:44:57,99.543
15:44:58,99.534
15:44:59,99.540
15:45:00,99.540
15:45:01,99.519
15:45:02,99.498
15:45:03,99.464
15:45:04,99.486
15:45:05,99.462
15:45:06,99.447
15:45:07,99.386
15:45:08,99.380
15:45:09,99.371
15:45:10,99.383
15:45:11,99.371
15:45:12,99.362
15:45:13,99.371
15:45:14,99.380
15:45:15,99.368
15:45:16,99.356
15:45:17,99.332
15:45:18,99.335
15:45:19,99.290
15:45:20,99.296
15:45:21,99.302
15:45:22,99.323
15:45:23,99.308
15:45:24,99.281
15:45:25,99.269
15:45:26,99.269
15:45:27,99.263
15:45:28,99.251
15:45:29,99.214
15:45:30,99.212
15:45:31,99.169
15:45:32,99.166
15:45:33,99.148
15:45:34,99.163
15:45:35,99.178
15:45:36,99.182
15:45:37,99.185
15:45:38,99.173
15:45:39,99.151
15:45:40,99.136
15:45:41,99.133
15:45:42,99.121
15:45:43,99.124
15:45:44,99.088
15:45:45,99.085
15:45:46,99.094
15:45:47,99.097
15:45:48,99.082
15:45:49,99.052
15:45:50,99.037
15:45:51,99.055
15:45:52,99.025
15:45:53,99.019
15:45:54,99.013
15:45:55,99.031
15:45:56,99.028
15:45:57,99.004
15:45:58,98.977
15:45:59,98.965
15:46:00,98.962
15:46:01,98.968
15:46:02,98.977
15:46:03,98.980
15:46:04,98.983
15:46:05,98.953
15:46:06,98.923
15:46:07,98.914
15:46:08,98.920
15:46:09,98.929
15:46:10,98.890
15:46:11,98.881
15:46:12,98.887
15:46:13,98.896
15:46:14,98.884
15:46:15,98.854
15:46:16,98.857
15:46:17,98.851
15:46:18,98.869
15:46:19,98.872
15:46:20,98.888
15:46:21,98.848
15:46:22,98.806
15:46:23,98.779
15:46:24,98.773
15:46:25,98.767
15:46:26,98.764
15:46:27,98.776
15:46:28,98.773
15:46:29,98.755
15:46:30,98.746
15:46:31,98.746
15:46:32,98.770
15:46:33,98.753
15:46:34,98.741
15:46:35,98.693
15:46:36,98.662
15:46:37,98.657
15:46:38,98.663
15:46:39,98.660
15:46:40,98.657
15:46:41,98.630
15:46:42,98.615
15:46:43,98.603
15:46:44,98.606
15:46:45,98.603
15:46:46,98.588
15:46:47,98.576
15:46:48,98.576
15:46:49,98.564
15:46:50,98.576
15:46:51,98.567
15:46:52,98.573
15:46:53,98.543
15:46:54,98.546
15:46:55,98.546
15:46:56,98.552
15:46:57,98.531
15:46:58,98.510
15:46:59,98.495
15:47:00,98.495
15:47:01,98.495
15:47:02,98.474
15:47:03,98.477
15:47:04,98.456
15:47:05,98.459
15:47:06,98.435
15:47:07,98.420
15:47:08,98.417
15:47:09,98.412
15:47:10,98.430
15:47:11,98.424
15:47:12,98.400
15:47:13,98.388
15:47:14,98.379
15:47:15,98.409
15:47:16,98.388
15:47:17,98.391
15:47:18,98.391
15:47:19,98.406
15:47:20,98.409
15:47:21,98.397
15:47:22,98.403
15:47:23,98.388
15:47:24,98.364
15:47:25,98.340
15:47:26,98.340
15:47:27,98.340
15:47:28,98.328
15:47:29,98.301
15:47:30,98.298
15:47:31,98.295
15:47:32,98.268
15:47:33,98.253
15:47:34,98.239
15:47:35,98.266
15:47:36,98.257
15:47:37,98.254
15:47:38,98.239
15:47:39,98.254
15:47:40,98.263
15:47:41,98.263
15:47:42,98.233
15:47:43,98.218
15:47:44,98.188
15:47:45,98.194
15:47:46,98.191
15:47:47,98.203
15:47:48,98.188
15:47:49,98.164
15:47:50,98.170
15:47:51,98.161
15:47:52,98.173
15:47:53,98.156
15:47:54,98.153
15:47:55,98.138
15:47:56,98.132
15:47:57,98.132
15:47:58,98.129
15:47:59,98.120
15:48:00,98.114
15:48:01,98.105
15:48:02,98.108
15:48:03,98.102
15:48:04,98.111
15:48:05,98.111
15:48:06,98.126
15:48:07,98.111
15:48:08,98.102
15:48:09,98.069
15:48:10,98.054
15:48:11,98.045
15:48:12,98.039
15:48:13,98.045
15:48:14,98.034
15:48:15,98.010
15:48:16,98.025
15:48:17,98.022
15:48:18,98.052
15:48:19,98.034
15:48:20,98.031
15:48:21,98.016
15:48:22,97.983
15:48:23,97.980
15:48:24,97.974
15:48:25,98.013
15:48:26,98.001
15:48:27,98.007
15:48:28,97.962
15:48:29,97.971
15:48:30,97.954
15:48:31,97.966
15:48:32,97.939
15:48:33,97.945
15:48:34,97.951
15:48:35,97.954
15:48:36,97.933
15:48:37,97.894
15:48:38,97.891
15:48:39,97.897
15:48:40,97.891
15:48:41,97.891
15:48:42,97.891
15:48:43,97.897
15:48:44,97.891
15:48:45,97.867
15:48:46,97.879
15:48:47,97.874
15:48:48,97.868
15:48:49,97.859
15:48:50,97.838
15:48:51,97.853
15:48:52,97.844
15:48:53,97.853
15:48:54,97.820
15:48:55,97.811
15:48:56,97.799
15:48:57,97.802
15:48:58,97.793
15:48:59,97.791
15:49:00,97.794
15:49:01,97.803
15:49:02,97.806
15:49:03,97.806
15:49:04,97.803
15:49:05,97.788
15:49:06,97.770
15:49:07,97.740
15:49:08,97.734
15:49:09,97.725
15:49:10,97.716
15:49:11,97.707
15:49:12,97.731
15:49:13,97.734
15:49:14,97.732
15:49:15,97.696
15:49:16,97.690
15:49:17,97.699
15:49:18,97.708
15:49:19,97.729
15:49:20,97.735
15:49:21,97.732
15:49:22,97.723
15:49:23,97.696
15:49:24,97.699
15:49:25,97.666
15:49:26,97.672
15:49:27,97.675
15:49:28,97.681
15:49:29,97.684
15:49:30,97.649
15:49:31,97.640
15:49:32,97.637
15:49:33,97.637
15:49:34,97.637
15:49:35,97.628
15:49:36,97.634
15:49:37,97.640
15:49:38,97.625
15:49:39,97.613
15:49:40,97.595
15:49:41,97.560
15:49:42,97.543
15:49:43,97.543
15:49:44,97.546
15:49:45,97.548
15:49:46,97.545
15:49:47,97.554
15:49:48,97.560
15:49:49,97.560
15:49:50,97.560
15:49:51,97.534
15:49:52,97.507
15:49:53,97.498
15:49:54,97.501
15:49:55,97.516
15:49:56,97.504
15:49:57,97.498
15:49:58,97.504
15:49:59,97.501
15:50:00,97.516
15:50:01,97.498
15:50:02,97.483
15:50:03,97.474
15:50:04,97.439
15:50:05,97.469
15:50:06,97.463
15:50:07,97.487
15:50:08,97.469
15:50:09,97.466
15:50:10,97.469
15:50:11,97.463
15:50:12,97.460
15:50:13,97.421
15:50:14,97.424
15:50:15,97.421
15:50:16,97.451
15:50:17,97.436
15:50:18,97.427
15:50:19,97.419
15:50:20,97.430
15:50:21,97.437
15:50:22,97.422
15:50:23,97.398
15:50:24,97.380
15:50:25,97.395
15:50:26,97.398
15:50:27,97.395
15:50:28,97.389
15:50:29,97.386
15:50:30,97.374
15:50:31,97.371
15:50:32,97.380
15:50:33,97.392
15:50:34,97.381
15:50:35,97.369
15:50:36,97.366
15:50:37,97.354
15:50:38,97.351
15:50:39,97.342
15:50:40,97.366
15:50:41,97.369
15:50:42,97.357
15:50:43,97.333
15:50:44,97.307
15:50:45,97.315
15:50:46,97.319
15:50:47,97.325
15:50:48,97.301
15:50:49,97.283
15:50:50,97.280
15:50:51,97.265
15:50:52,97.268
15:50:53,97.274
15:50:54,97.304
15:50:55,97.286
15:50:56,97.283
15:50:57,97.286
15:50:58,97.307
15:50:59,97.301
15:51:00,97.257
15:51:01,97.224
15:51:02,97.210
15:51:03,97.230
15:51:04,97.257
15:51:05,97.257
15:51:06,97.257
15:51:07,97.254
15:51:08,97.245
15:51:09,97.245
15:51:10,97.212
15:51:11,97.210
15:51:12,97.192
15:51:13,97.204
15:51:14,97.186
15:51:15,97.177
15:51:16,97.168
15:51:17,97.156
15:51:18,97.174
15:51:19,97.171
15:51:20,97.192
15:51:21,97.165
15:51:22,97.157
15:51:23,97.145
15:51:24,97.130
15:51:25,97.133
15:51:26,97.139
15:51:27,97.127
15:51:28,97.106
15:51:29,97.080
15:51:30,97.104
15:51:31,97.112
15:51:32,97.118
15:51:33,97.110
15:51:34,97.107
15:51:35,97.110
15:51:36,97.125
15:51:37,97.148
15:51:38,97.157
15:51:39,97.136
15:51:40,97.104
15:51:41,97.092
15:51:42,97.089
15:51:43,97.080
15:51:44,97.089
15:51:45,97.081
15:51:46,97.089
15:51:47,97.080
15:51:48,97.086
15:51:49,97.092
15:51:50,97.063
15:51:51,97.048
15:51:52,97.048
15:51:53,97.069
15:51:54,97.090
15:51:55,97.075
15:51:56,97.069
15:51:57,97.042
15:51:58,97.042
15:51:59,97.036
15:52:00,97.045
15:52:01,97.019
15:52:02,96.998
15:52:03,96.986
15:52:04,96.983
15:52:05,96.998
15:52:06,97.007
15:52:07,97.013
15:52:08,97.007
15:52:09,96.992
15:52:10,96.989
15:52:11,96.981
15:52:12,96.969
15:52:13,96.984
15:52:14,96.984
15:52:15,96.972
15:52:16,96.957
15:52:17,96.945
15:52:18,96.942
15:52:19,96.933
15:52:20,96.919
15:52:21,96.936
15:52:22,96.925
15:52:23,96.940
15:52:24,96.949
15:52:25,96.958
15:52:26,96.949
15:52:27,96.928
15:52:28,96.907
15:52:29,96.893
15:52:30,96.890
15:52:31,96.898
15:52:32,96.907
15:52:33,96.896
15:52:34,96.890
15:52:35,96.893
15:52:36,96.902
15:52:37,96.896
15:52:38,96.899
15:52:39,96.878
15:52:40,96.914
15:52:41,96.911
15:52:42,96.916
15:52:43,96.881
15:52:44,96.866
15:52:45,96.864
15:52:46,96.858
15:52:47,96.846
15:52:48,96.864
15:52:49,96.867
15:52:50,96.861
15:52:51,96.843
15:52:52,96.840
15:52:53,96.849
15:52:54,96.831
15:52:55,96.840
15:52:56,96.828
15:52:57,96.837
15:52:58,96.814
15:52:59,96.825
15:53:00,96.814
15:53:01,96.817
15:53:02,96.802
15:53:03,96.790
15:53:04,96.784
15:53:05,96.790
15:53:06,96.787
15:53:07,96.784
15:53:08,96.778
15:53:09,96.787
15:53:10,96.776
15:53:11,96.758
15:53:12,96.744
15:53:13,96.753
15:53:14,96.773
15:53:15,96.788
15:53:16,96.776
15:53:17,96.759
15:53:18,96.741
15:53:19,96.717
15:53:20,96.703
15:53:21,96.682
15:53:22,96.685
15:53:23,96.679
15:53:24,96.697
15:53:25,96.706
15:53:26,96.715
15:53:27,96.709
15:53:28,96.703
15:53:29,96.697
15:53:30,96.700
15:53:31,96.697
15:53:32,96.688
15:53:33,96.674
15:53:34,96.644
15:53:35,96.650
15:53:36,96.653
15:53:37,96.682
15:53:38,96.668
15:53:39,96.659
15:53:40,96.662
15:53:41,96.659
15:53:42,96.653
15:53:43,96.642
15:53:44,96.630
15:53:45,96.618
15:53:46,96.612
15:53:47,96.613
15:53:48,96.616
15:53:49,96.624
15:53:50,96.636
15:53:51,96.633
15:53:52,96.601
15:53:53,96.586
15:53:54,96.562
15:53:55,96.560
15:53:56,96.536
15:53:57,96.557
15:53:58,96.557
15:53:59,96.566
15:54:00,96.578
15:54:01,96.584
15:54:02,96.575
15:54:03,96.557
15:54:04,96.572
15:54:05,96.563
15:54:06,96.560
15:54:07,96.534
15:54:08,96.545
15:54:09,96.542
15:54:10,96.522
15:54:11,96.537
15:54:12,96.531
15:54:13,96.528
15:54:14,96.516
15:54:15,96.510
15:54:16,96.525
15:54:17,96.501
15:54:18,96.513
15:54:19,96.516
15:54:20,96.537
15:54:21,96.537
15:54:22,96.528
15:54:23,96.517
15:54:24,96.519
15:54:25,96.531
15:54:26,96.519
15:54:27,96.490
15:54:28,96.467
15:54:29,96.479
15:54:30,96.473
15:54:31,96.473
15:54:32,96.438
15:54:33,96.444
15:54:34,96.435
15:54:35,96.455
15:54:36,96.446
15:54:37,96.455
15:54:38,96.455
15:54:39,96.438
15:54:40,96.435
15:54:41,96.446
15:54:42,96.452
15:54:43,96.455
15:54:44,96.438
15:54:45,96.435
15:54:46,96.400
15:54:47,96.400
15:54:48,96.403
15:54:49,96.417
15:54:50,96.420
15:54:51,96.420
15:54:52,96.403
15:54:53,96.391
15:54:54,96.394
15:54:55,96.409
15:54:56,96.377
15:54:57,96.374
15:54:58,96.377
15:54:59,96.391
15:55:00,96.374
15:55:01,96.356
15:55:02,96.350
15:55:03,96.368
15:55:04,96.371
15:55:05,96.371
15:55:06,96.365
15:55:07,96.377
15:55:08,96.371
15:55:09,96.371
15:55:10,96.347
15:55:11,96.333
15:55:12,96.324
15:55:13,96.321
15:55:14,96.333
15:55:15,96.324
15:55:16,96.307
15:55:17,96.339
15:55:18,96.327
15:55:19,96.345
15:55:20,96.324
15:55:21,96.318
15:55:22,96.321
15:55:23,96.292
15:55:24,96.286
15:55:25,96.263
15:55:26,96.257
15:55:27,96.254
15:55:28,96.269
15:55:29,96.275
15:55:30,96.275
15:55:31,96.269
15:55:32,96.281
15:55:33,96.278
15:55:34,96.281
15:55:35,96.275
15:55:36,96.275
15:55:37,96.272
15:55:38,96.263
15:55:39,96.269
15:55:40,96.278
15:55:41,96.278
15:55:42,96.293
15:55:43,96.272
15:55:44,96.249
15:55:45,96.214
15:55:46,96.188
15:55:47,96.205
15:55:48,96.202
15:55:49,96.234
15:55:50,96.228
15:55:51,96.237
15:55:52,96.211
15:55:53,96.220
15:55:54,96.208
15:55:55,96.211
15:55:56,96.191
15:55:57,96.194
15:55:58,96.191
15:55:59,96.194
15:56:00,96.185
15:56:01,96.176
15:56:02,96.176
15:56:03,96.174
15:56:04,96.168
15:56:05,96.162
15:56:06,96.162
15:56:07,96.165
15:56:08,96.168
15:56:09,96.182
15:56:10,96.171
15:56:11,96.159
15:56:12,96.133
15:56:13,96.127
15:56:14,96.118
15:56:15,96.130
15:56:16,96.136
15:56:17,96.142
15:56:18,96.133
15:56:19,96.154
15:56:20,96.151
15:56:21,96.162
15:56:22,96.133
15:56:23,96.133
15:56:24,96.133
15:56:25,96.142
15:56:26,96.130
15:56:27,96.127
15:56:28,96.133
15:56:29,96.127
15:56:30,96.087
15:56:31,96.072
15:56:32,96.098
15:56:33,96.095
15:56:34,96.098
15:56:35,96.069
15:56:36,96.089
15:56:37,96.084
15:56:38,96.075
15:56:39,96.061
15:56:40,96.055
15:56:41,96.066
15:56:42,96.081
15:56:43,96.069
15:56:44,96.046
15:56:45,96.040
15:56:46,96.049
15:56:47,96.075
15:56:48,96.061
15:56:49,96.043
15:56:50,96.037
15:56:51,96.028
15:56:52,96.020
15:56:53,96.014
15:56:54,96.000
15:56:55,96.008
15:56:56,95.982
15:56:57,96.002
15:56:58,96.020
15:56:59,96.023
15:57:00,96.032
15:57:01,96.002
15:57:02,96.005
15:57:03,95.985
15:57:04,95.968
15:57:05,95.985
15:57:06,95.997
15:57:07,96.003
15:57:08,95.977
15:57:09,95.959
15:57:10,95.962
15:57:11,95.983
15:57:12,95.974
15:57:13,95.977
15:57:14,95.956
15:57:15,95.942
15:57:16,95.939
15:57:17,95.939
15:57:18,95.939
15:57:19,95.939
15:57:20,95.942
15:57:21,95.945
15:57:22,95.930
15:57:23,95.907
15:57:24,95.913
15:57:25,95.919
15:57:26,95.922
15:57:27,95.901
15:57:28,95.913
15:57:29,95.893
15:57:30,95.902
15:57:31,95.881
15:57:32,95.925
15:57:33,95.945
15:57:34,95.945
15:57:35,95.913
15:57:36,95.902
15:57:37,95.884
15:57:38,95.887
15:57:39,95.867
15:57:40,95.887
15:57:41,95.887
15:57:42,95.893
15:57:43,95.881
15:57:44,95.867
15:57:45,95.864
15:57:46,95.858
15:57:47,95.858
15:57:48,95.849
15:57:49,95.864
15:57:50,95.855
15:57:51,95.855
15:57:52,95.820
15:57:53,95.832
15:57:54,95.829
15:57:55,95.850
15:57:56,95.832
15:57:57,95.844
15:57:58,95.850
15:57:59,95.853
15:58:00,95.835
15:58:01,95.801
15:58:02,95.809
15:58:03,95.809
15:58:04,95.821
15:58:05,95.798
15:58:06,95.783
15:58:07,95.786
15:58:08,95.801
15:58:09,95.806
15:58:10,95.792
15:58:11,95.792
15:58:12,95.783
15:58:13,95.804
15:58:14,95.786
15:58:15,95.804
15:58:16,95.783
15:58:17,95.789
15:58:18,95.786
15:58:19,95.780
15:58:20,95.772
15:58:21,95.746
15:58:22,95.725
15:58:23,95.691
15:58:24,95.697
15:58:25,95.723
15:58:26,95.760
15:58:27,95.743
15:58:28,95.737
15:58:29,95.723
15:58:30,95.717
15:58:31,95.723
15:58:32,95.720
15:58:33,95.720
15:58:34,95.694
15:58:35,95.694
15:58:36,95.700
15:58:37,95.700
15:58:38,95.682
15:58:39,95.665
15:58:40,95.673
15:58:41,95.697
15:58:42,95.732
15:58:43,95.712
15:58:44,95.703
15:58:45,95.680
15:58:46,95.691
15:58:47,95.685
15:58:48,95.679
15:58:49,95.668
15:58:50,95.653
15:58:51,95.642
15:58:52,95.631
15:58:53,95.639
15:58:54,95.628
15:58:55,95.654
15:58:56,95.642
15:58:57,95.674
15:58:58,95.665
15:58:59,95.677
15:59:00,95.659
15:59:01,95.648
15:59:02,95.622
15:59:03,95.613
15:59:04,95.610
15:59:05,95.619
15:59:06,95.593
15:59:07,95.576
15:59:08,95.570
15:59:09,95.602
15:59:10,95.613
15:59:11,95.610
15:59:12,95.616
15:59:13,95.599
15:59:14,95.599
15:59:15,95.593
15:59:16,95.605
15:59:17,95.608
15:59:18,95.590
15:59:19,95.593
15:59:20,95.588
15:59:21,95.582
15:59:22,95.576
15:59:23,95.576
15:59:24,95.582
15:59:25,95.567
15:59:26,95.559
15:59:27,95.550
15:59:28,95.565
15:59:29,95.559
15:59:30,95.553
15:59:31,95.542
15:59:32,95.539
15:59:33,95.544
15:59:34,95.536
15:59:35,95.536
15:59:36,95.527
15:59:37,95.533
15:59:38,95.530
15:59:39,95.510
15:59:40,95.501
15:59:41,95.487
15:59:42,95.504
15:59:43,95.493
15:59:44,95.490
15:59:45,95.490
15:59:46,95.487
15:59:47,95.481
15:59:48,95.466
15:59:49,95.472
15:59:50,95.472
15:59:51,95.470
15:59:52,95.461
15:59:53,95.481
15:59:54,95.481
15:59:55,95.484
15:59:56,95.464
15:59:57,95.464
15:59:58,95.473
15:59:59,95.458
16:00:00,95.473
16:00:01,95.467
16:00:02,95.478
16:00:03,95.458
16:00:04,95.456
16:00:05,95.464
16:00:06,95.473
16:00:07,95.444
16:00:08,95.450
16:00:09,95.427
16:00:10,95.418
16:00:11,95.407
16:00:12,95.412
16:00:13,95.421
16:00:14,95.404
16:00:15,95.386
16:00:16,95.395
16:00:17,95.409
16:00:18,95.430
16:00:19,95.436
16:00:20,95.421
16:00:21,95.413
16:00:22,95.395
16:00:23,95.372
16:00:24,95.369
16:00:25,95.361
16:00:26,95.375
16:00:27,95.361
16:00:28,95.349
16:00:29,95.340
16:00:30,95.361
16:00:31,95.396
16:00:32,95.410
16:00:33,95.398
16:00:34,95.390
16:00:35,95.378
16:00:36,95.384
16:00:37,95.370
16:00:38,95.364
16:00:39,95.352
16:00:40,95.341
16:00:41,95.332
16:00:42,95.332
16:00:43,95.329
16:00:44,95.341
16:00:45,95.338
16:00:46,95.323
16:00:47,95.303
16:00:48,95.289
16:00:49,95.312
16:00:50,95.292
16:00:51,95.303
16:00:52,95.301
16:00:53,95.309
16:00:54,95.304
16:00:55,95.272
16:00:56,95.266
16:00:57,95.249
16:00:58,95.246
16:00:59,95.261
16:01:00,95.272
16:01:01,95.293
16:01:02,95.284
16:01:03,95.275
16:01:04,95.261
16:01:05,95.255
16:01:06,95.235
16:01:07,95.229
16:01:08,95.235
16:01:09,95.246
16:01:10,95.272
16:01:11,95.272
16:01:12,95.261
16:01:13,95.232
16:01:14,95.223
16:01:15,95.241
16:01:16,95.243
16:01:17,95.232
16:01:18,95.209
16:01:19,95.206
16:01:20,95.206
16:01:21,95.221
16:01:22,95.200
16:01:23,95.212
16:01:24,95.195
16:01:25,95.192
16:01:26,95.192
16:01:27,95.198
16:01:28,95.229
16:01:29,95.206
16:01:30,95.201
16:01:31,95.183
16:01:32,95.201
16:01:33,95.198
16:01:34,95.195
16:01:35,95.186
16:01:36,95.204
16:01:37,95.198
16:01:38,95.186
16:01:39,95.146
16:01:40,95.137
16:01:41,95.129
16:01:42,95.132
16:01:43,95.141
16:01:44,95.146
16:01:45,95.166
16:01:46,95.158
16:01:47,95.166
16:01:48,95.141
16:01:49,95.149
16:01:50,95.149
16:01:51,95.155
16:01:52,95.129
16:01:53,95.092
16:01:54,95.097
16:01:55,95.100
16:01:56,95.126
16:01:57,95.103
16:01:58,95.129
16:01:59,95.126
16:02:00,95.141
16:02:01,95.115
16:02:02,95.104
16:02:03,95.095
16:02:04,95.098
16:02:05,95.101
16:02:06,95.110
16:02:07,95.089
16:02:08,95.078
16:02:09,95.078
16:02:10,95.095
16:02:11,95.084
16:02:12,95.072
16:02:13,95.066
16:02:14,95.078
16:02:15,95.061
16:02:16,95.049
16:02:17,95.049
16:02:18,95.060
16:02:19,95.052
16:02:20,95.029
16:02:21,95.035
16:02:22,95.038
16:02:23,95.061
16:02:24,95.046
16:02:25,95.058
16:02:26,95.058
16:02:27,95.049
16:02:28,95.046
16:02:29,95.044
16:02:30,95.064
16:02:31,95.026
16:02:32,95.009
16:02:33,94.983
16:02:34,94.995
16:02:35,94.998
16:02:36,94.998
16:02:37,95.007
16:02:38,95.012
16:02:39,94.995
16:02:40,94.998
16:02:41,94.983
16:02:42,94.995
16:02:43,94.984
16:02:44,94.987
16:02:45,94.989
16:02:46,94.998
16:02:47,94.966
16:02:48,94.952
16:02:49,94.938
16:02:50,94.969
16:02:51,94.990
16:02:52,94.990
16:02:53,94.975
16:02:54,94.969
16:02:55,94.955
16:02:56,94.941
